अ,ə
ज़हर,z ə ɦ ɾ
ज़हरी,z ə ɦ ɾ iː
ज़हरीला,z ə ɦ ɾ iː l ɑː
जहाँ,d͡ʒ ə ɦ ɑː ~
जहाँ,d͡ʒ ə ɦ ɑː ~
जहाज़,d͡ʒ ə ɦ ɑː z
जहाज़ी,d͡ʒ ə ɦ ɑː z iː
जहान,d͡ʒ ə ɦ ɑː n
जहालत,d͡ʒ ə ɦ ɑː l ə t̪
जहीं,d͡ʒ ə ɦ iː ~
ज़हीन,z ə ɦ iː n
जहेज़,d͡ʒ ə ɦ eː z
जह्न,d͡ʒ ə ɦ n ʊ
जाँगर,d͡ʒ ɑː ŋ g ə ɾ
जांगल,d͡ʒ ɑː ŋ g ə l
जांगली,d͡ʒ ɑː ŋ g ə l iː
जाँगलू,d͡ʒ ɑː ŋ g l uː
जाँघ,d͡ʒ ɑː ŋ gʱ
जांघिक,d͡ʒ ɑː ŋ gʱ ɪ k
जाँघिया,d͡ʒ ɑː ŋ gʱ ɪ j ɑː
जाँघिल,d͡ʒ ɑː ŋ gʱ ɪ l
जाँच,d͡ʒ ɑː n t͡ʃ
जाँचना,d͡ʒ ɑː n t͡ʃ n ɑː
जाँत,d͡ʒ ɑː n t̪
जाँता,d͡ʒ ɑː n t̪ ɑː
जाँती,d͡ʒ ɑː n t̪ iː
जाँब,d͡ʒ ɑː m b
जॉब,d͡ʒ ɑː b
जांबव,d͡ʒ ɑː m b ə ʋ
जा,d͡ʒ ɑː
जा,d͡ʒ ɑː
जा-,d͡ʒ ɑː -
जाई,d͡ʒ ɑː iː
जाकड़,d͡ʒ ɑː k ə ɽ
ज़ाकिर,z ɑː k ɪ ɾ
जाकेट,d͡ʒ ɑː k eː ʈ
जाख,d͡ʒ ɑː kʰ
जाखन,d͡ʒ ɑː kʰ ə n
जाखिनी,d͡ʒ ɑː kʰ ɪ n iː
जाग,d͡ʒ ɑː g
जाग,d͡ʒ ɑː g
जाग,d͡ʒ ɑː g
जागता,d͡ʒ ɑː g t̪ ɑː
जागना,d͡ʒ ɑː g n ɑː
जागर,d͡ʒ ɑː g ə ɾ
जागरण,d͡ʒ ɑː g ə ɾ ə n
जागरी,d͡ʒ ɑː g ɾ iː
जागरूक,d͡ʒ ɑː g ə ɾ uː k
जागरूकता,d͡ʒ ɑː g ə ɾ uː k ə t̪ ɑː
जागा,d͡ʒ ɑː g ɑː
जागीर,d͡ʒ ɑː g iː ɾ
जागीरी,d͡ʒ ɑː g iː ɾ iː
जागृत,d͡ʒ ɑː g ɾ ɪ t̪
जागृति,d͡ʒ ɑː g ɾ ɪ t̪ ɪ
जाग्रत्,d͡ʒ ɑː g ɾ ə t̪
जाग्रति,d͡ʒ ɑː g ɾ ə t̪ ɪ
जाजन,d͡ʒ ɑː d͡ʒ ə n
जाजम,d͡ʒ ɑː d͡ʒ ə m
जाज़िब,d͡ʒ ɑː z ɪ b
जाजिंम,d͡ʒ ɑː d͡ʒ ɪ m
जाजुलन,d͡ʒ ɑː d͡ʒ ʊ l ə n
जाजुलित,d͡ʒ ɑː d͡ʒ ʊ l ɪ t̪
जाज्वल्यमान,d͡ʒ ɑː d͡ʒ ʋ ə l j ə m ɑː n
जाट,d͡ʒ ɑː ʈ
जाटलि,d͡ʒ ɑː ʈ ə l ɪ
जाठ,d͡ʒ ɑː ʈʰ
जाठर,d͡ʒ ɑː ʈʰ ə ɾ
जाड़,d͡ʒ ɑː ɽ
जाड़ा,d͡ʒ ɑː ɽ ɑː
जाडय,d͡ʒ ɑː ɖ j ə
ज़ात,z ɑː t̪
जात,d͡ʒ ɑː t̪
जात,d͡ʒ ɑː t̪
जातक,d͡ʒ ɑː t̪ ə k
जाति,d͡ʒ ɑː t̪ ɪ
जातित्व,d͡ʒ ɑː t̪ ɪ t̪ ʋ ə
ज़ाती,z ɑː t̪ iː
जाती,d͡ʒ ɑː t̪ iː
जाती,d͡ʒ ɑː t̪ iː
जातीय,d͡ʒ ɑː t̪ iː j ə
जातीयता,d͡ʒ ɑː t̪ iː j ə t̪ ɑː
जातुधान,d͡ʒ ɑː t̪ ʊ d̪ʱ ɑː n
जात्य,d͡ʒ ɑː t̪ j ə
जादुई,d͡ʒ ɑː d̪ ʊ iː
जादू,d͡ʒ ɑː d̪ uː
जादो,d͡ʒ ɑː d̪ oː
जान,d͡ʒ ɑː n
जान,d͡ʒ ɑː n
जानकारी,d͡ʒ ɑː n k ɑː ɾ iː
जानकी,d͡ʒ ɑː n ə k iː
जाननहार,d͡ʒ ɑː n ə n ɦ ɑː ɾ
जानना,d͡ʒ ɑː n n ɑː
जानवर,d͡ʒ ɑː n ʋ ə ɾ
जानहु,d͡ʒ ɑː n ə ɦ ʊ
जाना,d͡ʒ ɑː n ɑː
जानिब,d͡ʒ ɑː n ɪ b
जानी,d͡ʒ ɑː n iː
जानु,d͡ʒ ɑː n ʊ
जानु,d͡ʒ ɑː n ʊ
जाने,d͡ʒ ɑː n eː
जानो,d͡ʒ ɑː n oː
जाप,d͡ʒ ɑː p
जापक,d͡ʒ ɑː p ə k
जापन,d͡ʒ ɑː p ə n
जापा,d͡ʒ ɑː p ɑː
जापान,d͡ʒ ɑː p ɑː n
जापानी,d͡ʒ ɑː p ɑː n iː
जापानी,d͡ʒ ɑː p ɑː n iː
जापी,d͡ʒ ɑː p iː
जापू,d͡ʒ ɑː p uː
ज़ाफ़रान,z ɑː f ɾ ɑː n
ज़ाफ़रानी,z ɑː f ɾ ɑː n iː
जाफ़री,d͡ʒ ɑː f ɾ iː
जाफ़ा,d͡ʒ ɑː f ɑː
जाब,d͡ʒ ɑː b
ज़ाबित,z ɑː b ɪ t̪
जाबिर,d͡ʒ ɑː b ɪ ɾ
जाबी,d͡ʒ ɑː b iː
ज़ाब्ता,z ɑː b t̪ ɑː
जाम,d͡ʒ ɑː m
जाम,d͡ʒ ɑː m
जाम,d͡ʒ ɑː m
जाम,d͡ʒ ɑː m
जाम-,d͡ʒ ɑː m -
जाम-,d͡ʒ ɑː m -
जामदानी,d͡ʒ ɑː m d̪ ɑː n iː
जामन,d͡ʒ ɑː m ə n
जामन,d͡ʒ ɑː m ə n
जामा,d͡ʒ ɑː m ɑː
जामा,d͡ʒ ɑː m ɑː
जामाता,d͡ʒ ɑː m ɑː t̪ ɑː
जामिक,d͡ʒ ɑː m ɪ k
ज़ामिन,z ɑː m ɪ n
जामुन,d͡ʒ ɑː m ʊ n
ज़ायक़ा,z ɑː j q ɑː
जायज़,d͡ʒ ɑː j ə z
जायज़ा,d͡ʒ ɑː j z ɑː
जायदाद,d͡ʒ ɑː j d̪ ɑː d̪
जायफल,d͡ʒ ɑː j pʰ ə l
जायमान,d͡ʒ ɑː j ə m ɑː n
जाया,d͡ʒ ɑː j ɑː
जाया,d͡ʒ ɑː j ɑː
जाया,d͡ʒ ɑː j ɑː
ज़ार,z ɑː ɾ
जार,d͡ʒ ɑː ɾ
जार,d͡ʒ ɑː ɾ
जारक,d͡ʒ ɑː ɾ ə k
जारण,d͡ʒ ɑː ɾ ə n
जारन,d͡ʒ ɑː ɾ ə n
जारना,d͡ʒ ɑː ɾ n ɑː
जारल,d͡ʒ ɑː ɾ ə l
जारी,d͡ʒ ɑː ɾ iː
जारी,d͡ʒ ɑː ɾ iː
जाल,d͡ʒ ɑː l
जाल,d͡ʒ ɑː l
जालना,d͡ʒ ɑː l n ɑː
जाला,d͡ʒ ɑː l ɑː
जालिका,d͡ʒ ɑː l ɪ k ɑː
ज़ालिम,z ɑː l ɪ m
ज़ालिमाना,z ɑː l ɪ m ɑː n ɑː
ज़ालिमी,z ɑː l ɪ m iː
जालिया,d͡ʒ ɑː l ɪ j ɑː
जालिया,d͡ʒ ɑː l ɪ j ɑː
जाली,d͡ʒ ɑː l iː
जाली,d͡ʒ ɑː l iː
जावक,d͡ʒ ɑː ʋ ə k
जावित्री,d͡ʒ ɑː ʋ ɪ t̪ ɾ iː
जासूस,d͡ʒ ɑː s uː s
जासूसी,d͡ʒ ɑː s uː s iː
जासूसी,d͡ʒ ɑː s uː s iː
ज़ाहिद,z ɑː ɦ ɪ d̪
ज़ाहिर,z ɑː ɦ ɪ ɾ
ज़ाहिरा,z ɑː ɦ ɪ ɾ ɑː
ज़ाहिरी,z ɑː ɦ ɪ ɾ iː
जाहिल,d͡ʒ ɑː ɦ ɪ l
ज़ाहिल,d͡ʒ ɑː ɦ ɪ l
जाहिली,d͡ʒ ɑː ɦ ɪ l iː
जाहिलीयत,d͡ʒ ɑː ɦ ɪ l iː j ə t̪
जाही,d͡ʒ ɑː ɦ iː
जाह्नवी,d͡ʒ ɑː ɦ n ə ʋ iː
ज़िंदगानी,z ɪ n d̪ ə g ɑː n iː
ज़िंदगी,z ɪ n d̪ ə g iː
ज़िंदा,z ɪ n d̪ ɑː
जिंस,d͡ʒ ɪ n s
जि-,d͡ʒ ɪ -
जिआ-,d͡ʒ ɪ ɑː -
जि़क्र,z ɪ k ɾ
जिगजिगिया,d͡ʒ ɪ g d͡ʒ ɪ g ɪ j ɑː
जिगजिगी,d͡ʒ ɪ g d͡ʒ ɪ g iː
जिगर,d͡ʒ ɪ g ə ɾ
जिगरा,d͡ʒ ɪ g ɾ ɑː
जिगरी,d͡ʒ ɪ g ɾ iː
जिच,d͡ʒ ɪ t͡ʃ
जिजिया,d͡ʒ ɪ d͡ʒ ɪ j ɑː
जिज़िया,d͡ʒ ɪ z ɪ j ɑː
जिजीविषा,d͡ʒ ɪ d͡ʒ iː ʋ ɪ ʃ ɑː
जिज्ञासा,d͡ʒ ɪ g j ɑː s ɑː
जिज्ञासित,d͡ʒ ɪ g j ɑː s ɪ t̪
जिज्ञासु,d͡ʒ ɪ g j ɑː s ʊ
जिज्ञास्य,d͡ʒ ɪ g j ɑː s j ə
जिठानी,d͡ʒ ɪ ʈʰ ɑː n iː
जित,d͡ʒ ɪ t̪
जित,d͡ʒ ɪ t̪
जितक,d͡ʒ ɪ t̪ ə k
जितना,d͡ʒ ɪ t̪ n ɑː
जितना,d͡ʒ ɪ t̪ n ɑː
जितलाना,d͡ʒ ɪ t̪ l ɑː n ɑː
जितवाना,d͡ʒ ɪ t̪ ʋ ɑː n ɑː
जितवैया,d͡ʒ ɪ t̪ ʋ ɛː j ɑː
जिताना,d͡ʒ ɪ t̪ ɑː n ɑː
जितीक,d͡ʒ ɪ t̪ iː k
जितेक,d͡ʒ ɪ t̪ eː k
जितो,d͡ʒ ɪ t̪ oː
जित्ता,d͡ʒ ɪ t̪ t̪ ɑː
जित्वर,d͡ʒ ɪ t̪ ʋ ə ɾ
ज़िद,z ɪ d̪
ज़िदियाना,z ɪ d̪ ɪ j ɑː n ɑː
ज़िद्द,z ɪ d̪ d̪
ज़िद्दी,z ɪ d̪ d̪ iː
जिधर,d͡ʒ ɪ d̪ʱ ə ɾ
जिन,d͡ʒ ɪ n
जिन,d͡ʒ ɪ n
जिन,d͡ʒ ɪ n
जिन,d͡ʒ ɪ n
ज़िना,z ɪ n ɑː
जिन्न,d͡ʒ ɪ n n
जिन्नी,d͡ʒ ɪ n n iː
ज़िबह,z ɪ b ə ɦ
जिब्भा,d͡ʒ ɪ b bʱ ɑː
जिमख़ाना,d͡ʒ ɪ m x ɑː n ɑː
जिमाना,d͡ʒ ɪ m ɑː n ɑː
जिमि,d͡ʒ ɪ m ɪ
ज़िम्मा,z ɪ m m ɑː
ज़िम्मादार,z ɪ m m ɑː d̪ ɑː ɾ
ज़िम्मादारी,z ɪ m m ɑː d̪ ɑː ɾ iː
ज़िम्मावार,z ɪ m m ɑː ʋ ɑː ɾ
ज़िम्मावारी,z ɪ m m ɑː ʋ ɑː ɾ iː
ज़िम्मेदार,z ɪ m m eː d̪ ɑː ɾ
ज़िम्मेदारी,z ɪ m m eː d̪ ɑː ɾ iː
ज़िम्मेवार,z ɪ m m eː ʋ ɑː ɾ
ज़िम्मेवारी,z ɪ m m eː ʋ ɑː ɾ iː
जियरा,d͡ʒ ɪ j ɾ ɑː
जिया-,d͡ʒ ɪ j ɑː -
ज़ियाफ़त,z ɪ j ɑː f ə t̪
ज़िरह,z ɪ ɾ ə ɦ
ज़ियारत,z ɪ j ɑː ɾ ə t̪
जिरह,d͡ʒ ɪ ɾ ə ɦ
ज़िला,z ɪ l ɑː
ज़िलादार,z ɪ l ɑː d̪ ɑː ɾ
ज़िलादारी,z ɪ l ɑː d̪ ɑː ɾ iː
जिलाना,d͡ʒ ɪ l ɑː n ɑː
ज़िलावार,z ɪ l ɑː ʋ ɑː ɾ
जिल्द,d͡ʒ ɪ l d̪
जिल्दी,d͡ʒ ɪ l d̪ iː
ज़िल्लत,z ɪ l l ə t̪
जिवा-,d͡ʒ ɪ ʋ ɑː -
जिस,d͡ʒ ɪ s
जिस्म,d͡ʒ ɪ s m
जिस्मानी,d͡ʒ ɪ s m ɑː n iː
जिस्मी,d͡ʒ ɪ s m iː
ज़िहन,z ɪ ɦ n
जिहाद,d͡ʒ ɪ ɦ ɑː d̪
जिह्वा,d͡ʒ ɪ ɦ ʋ ɑː
जींगन,d͡ʒ iː ŋ g ə n
जी,d͡ʒ iː
जी,d͡ʒ ɪ
जीजा,d͡ʒ iː d͡ʒ ɑː
जीजी,d͡ʒ iː d͡ʒ iː
जिट,d͡ʒ ɪ ʈ
जीत,d͡ʒ iː t̪
जीतना,d͡ʒ iː t̪ n ɑː
जीतव,d͡ʒ iː t̪ ə ʋ
जीता,d͡ʒ iː t̪ ɑː
जितिया,d͡ʒ iː t̪ ɪ j ɑː
जीतू,d͡ʒ iː t̪ uː
ज़ीन,z iː n
ज़ीनत,z iː n ə t̪
जीना,d͡ʒ iː n ɑː
ज़ीना,z iː n ɑː
जीब,d͡ʒ iː b
जीभ,d͡ʒ iː bʱ
जीभी,d͡ʒ iː bʱ iː
जीमड़,d͡ʒ iː m ə ɽ
जीमना,d͡ʒ iː m n ɑː
ज़ीर,z iː ɾ
जीरक,d͡ʒ iː ɾ ə k
जीरा,d͡ʒ iː ɾ ɑː
ज़ीरा,z iː ɾ ɑː
जीर्ण,d͡ʒ iː ɾ n
जीर्णता,d͡ʒ iː ɾ n ə t̪ ɑː
जील,d͡ʒ iː l
जीव,d͡ʒ iː ʋ
जीवंत,d͡ʒ iː ʋ ə n t̪
जीवक,d͡ʒ iː ʋ ə k
जीवट,d͡ʒ iː ʋ ə ʈ
जीवडा़,d͡ʒ iː ʋ ɽ ɑː
जीवत्,d͡ʒ iː ʋ ə t̪
जीवन,d͡ʒ iː ʋ ə n
जीवनमुक्त,d͡ʒ iː ʋ ə n m ʊ k t̪
जीवनमृत,d͡ʒ iː ʋ ə n m ɾ ɪ t̪
जीवनी,d͡ʒ iː ʋ ə n iː
जीवनीय,d͡ʒ iː ʋ ə n iː j ə
जीविका,d͡ʒ iː ʋ ɪ k ɑː
जीवित,d͡ʒ iː ʋ ɪ t̪
जीवी,d͡ʒ iː ʋ iː
जीह,d͡ʒ iː ɦ
जुंग,d͡ʒ ʊ ŋ g
जुंबिश,d͡ʒ ʊ m b ɪ ʃ
जुआँ,d͡ʒ ʊ ɑː ~
जुआ,d͡ʒ ʊ ɑː
जुआ,d͡ʒ ʊ ə
जुआठ,d͡ʒ ʊ ɑː ʈʰ
जुआरी,d͡ʒ ʊ ɑː ɾ iː
जुई,d͡ʒ ʊ iː ~
जुई,d͡ʒ ʊ iː
ज़ुकाम,z ʊ k ɑː m
जुखना,d͡ʒ ʊ kʰ n ɑː
जुखाई,d͡ʒ ʊ kʰ ɑː iː
जुखाना,d͡ʒ ʊ kʰ ɑː n ɑː
जुग,d͡ʒ ʊ g
जुगत,d͡ʒ ʊ g ə t̪
जुगति,d͡ʒ ʊ g ə t̪ ɪ
जुगती,d͡ʒ ʊ g ə t̪ iː
जुगनी,d͡ʒ ʊ g n iː
जुगनूँ,d͡ʒ ʊ g n uː ~
जुगनू,d͡ʒ ʊ g n uː
जुगा-,d͡ʒ ʊ g ɑː -
जुगाड़,d͡ʒ ʊ g ɑː ɽ
जुगाल,d͡ʒ ʊ g ə l
जुगालना,d͡ʒ ʊ g ɑː l n ɑː
जुगाली,d͡ʒ ʊ g ɑː l iː
जुगुप्सा,d͡ʒ ʊ g ʊ p s ɑː
जुगुप्सित,d͡ʒ ʊ g ʊ p s ɪ t̪
जुज़,d͡ʒ ʊ z
जुज्झ,d͡ʒ ʊ d͡ʒ d͡ʒʱ
जुझ,d͡ʒ ʊ d͡ʒʱ
जुझना,d͡ʒ ʊ d͡ʒʱ n ɑː
जुझाऊ,d͡ʒ ʊ d͡ʒʱ ɑː uː
जुझार,d͡ʒ ʊ d͡ʒʱ ɑː ɾ
जुझारा,d͡ʒ ʊ d͡ʒʱ ɑː ɾ ɑː
जुट,d͡ʒ ʊ ʈ
जुटना,d͡ʒ ʊ ʈ n ɑː
जुटाना,d͡ʒ ʊ ʈ ɑː n ɑː
जुटाव,d͡ʒ ʊ ʈ ɑː ʋ
जुट्टी,d͡ʒ ʊ ʈ ʈ iː
जुठारना,d͡ʒ ʊ ʈʰ ɑː ɾ n ɑː
जुड़ना,d͡ʒ ʊ ɽ n ɑː
जुड़पित्ती,d͡ʒ ʊ ɽ - p ɪ t̪ t̪ iː
जुड़वाँ,d͡ʒ ʊ ɽ ʋ ɑː ~
जुड़वाई,d͡ʒ ʊ ɽ ʋ ɑː iː
जुड़वाना,d͡ʒ ʊ ɽ ʋ ɑː n ɑː
जुड़ा-,d͡ʒ ʊ ɽ ɑː -
जुड़ाई,d͡ʒ ʊ ɽ ɑː iː
जुड़ाई,d͡ʒ ʊ ɽ ɑː iː
जुड़ाना,d͡ʒ ʊ ɽ ɑː n ɑː
-जुत,- d͡ʒ ʊ t̪
जुतना,d͡ʒ ʊ t̪ n ɑː
जुतवाना,d͡ʒ ʊ t̪ ʋ ɑː n ɑː
जुताई,d͡ʒ ʊ t̪ ɑː iː
जुताऊ,d͡ʒ ʊ t̪ ɑː uː
जुताना,d͡ʒ ʊ t̪ ɑː n ɑː
जुतियाना,d͡ʒ ʊ t̪ ɪ j ɑː n ɑː
जुत्तम-जुत्ता,d͡ʒ ʊ t̪ t̪ ə m - d͡ʒ ʊ t̪ t̪ ɑː
जुदा,d͡ʒ ʊ d̪ ɑː
जुदाई,d͡ʒ ʊ d̪ ɑː iː
जुनरी,d͡ʒ ʊ n ɾ iː
जुनून,d͡ʒ ʊ n uː n
जुन्हरी,d͡ʒ ʊ n ɦ ɾ iː
जुन्हाई,d͡ʒ ʊ n ɦ ɑː iː
जुन्हार,d͡ʒ ʊ n ɦ ɑː ɾ
जुन्हैया,d͡ʒ ʊ n ɦ ɛː j ɑː
जुमला,d͡ʒ ʊ m l ɑː
जुमा,d͡ʒ ʊ m ɑː
जुमेरात,d͡ʒ ʊ m eː ɾ ɑː t̪
जुर-,d͡ʒ ʊ ɾ -
जुरमाना,d͡ʒ ʊ ɾ m ɑː n ɑː
जुराब,d͡ʒ ʊ ɾ ɑː b
जुर्म,d͡ʒ ʊ ɾ m
जुर्माना,d͡ʒ ʊ ɾ m ɑː n ɑː
जुर्रत,d͡ʒ ʊ ɾ ɾ ə t̪
जुर्रा,d͡ʒ ʊ ɾ ɾ ɑː
जुर्राब,d͡ʒ ʊ ɾ ɾ ɑː b
जुल,d͡ʒ ʊ l
जुलना,d͡ʒ ʊ l n ɑː
जु़लम,z ʊ l m
ज़ुलमियत,z ʊ l m ɪ j ə t̪
जुलाई,d͡ʒ ʊ l ɑː iː
जुलाब,d͡ʒ ʊ l ɑː b
जुलाहा,d͡ʒ ʊ l ɑː ɦ ɑː
जुलाहिन,d͡ʒ ʊ l ɑː ɦ ɪ n
जुलूस,d͡ʒ ʊ l uː s
ज़ुल्फ़,z ʊ l f
ज़ुल्फ़ी,z ʊ l f iː
ज़ुल्म,z ʊ l m
ज़ुल्मत,z ʊ l m ə t̪
ज़ुल्मी,z ʊ l m iː
जुव-,d͡ʒ ʊ ʋ -
जुवा,d͡ʒ ʊ ʋ ɑː
जुवार,d͡ʒ ʊ ʋ ɑː ɾ
जुवारा,d͡ʒ ʊ ʋ ɑː ɾ ɑː
जुस्तजू,d͡ʒ ʊ s t̪ d͡ʒ uː
जुहार,d͡ʒ ʊ ɦ ɑː ɾ
जुहारना,d͡ʒ ʊ ɦ ɑː ɾ n ɑː
जुही,d͡ʒ ʊ ɦ iː
जूँ,d͡ʒ uː ~
जू,d͡ʒ uː
जूआ,d͡ʒ uː ɑː
जूझ,d͡ʒ uː d͡ʒʱ
जूझना,d͡ʒ uː d͡ʒʱ n ɑː
जूट,d͡ʒ uː ʈ
जूठ,d͡ʒ uː ʈʰ
जूठन,d͡ʒ uː ʈʰ ə n
जूठा,d͡ʒ uː ʈʰ ɑː
जूड़,d͡ʒ uː ɽ
जूड़ा,d͡ʒ uː ɽ ɑː
जूड़ा,d͡ʒ uː ɽ ɑː
जूड़ी,d͡ʒ uː ɽ iː
जूतंपैज़ार,d͡ʒ uː t̪ ə m p ɛː z ɑː ɾ
जूत,d͡ʒ uː t̪
जूता,d͡ʒ uː t̪ ɑː
जूती,d͡ʒ uː t̪ iː
जूथ,d͡ʒ uː t̪ʰ
जून,d͡ʒ uː n
जून,d͡ʒ uː n
जून,d͡ʒ uː n
जूना,d͡ʒ uː n ɑː
जूना,d͡ʒ uː n ɑː
जूप,d͡ʒ uː p
जूप,d͡ʒ uː p
जूरी-मारी,d͡ʒ uː ɾ iː - m ɑː ɾ iː
जूला,d͡ʒ uː l ɑː
जूलाई,d͡ʒ uː l ɑː iː
जूस,d͡ʒ uː s
जूसताख,d͡ʒ uː s t̪ ɑː kʰ
जूसी,d͡ʒ uː s iː
जूह,d͡ʒ uː ɦ
जूह,d͡ʒ uː ɦ
जूहड़,d͡ʒ uː ɦ ə ɽ
जूही,d͡ʒ uː ɦ iː
जृंभ,d͡ʒ ɾ ɪ m bʱ
जृंभित,d͡ʒ ɾ ɪ m bʱ ɪ t̪
जेंवन,d͡ʒ eː ~ ʋ ə n
जेंवना,d͡ʒ eː ~ ʋ n ɑː
जेंवनार,d͡ʒ eː ~ ʋ n ɑː ɾ
जेंवाना,d͡ʒ eː ~ ʋ ɑː n ɑː
जे,d͡ʒ eː
जेट,d͡ʒ eː ʈ
जेठ,d͡ʒ eː ʈʰ
जेठा,d͡ʒ eː ʈʰ
जेठरा,d͡ʒ eː ʈʰ ɾ ɑː
जेठा,d͡ʒ eː ʈʰ ɑː
जेठानी,d͡ʒ eː ʈʰ ɑː n iː
जेठी,d͡ʒ eː ʈʰ iː
जेठौत,d͡ʒ eː ʈʰ ɔː t̪
जेता,d͡ʒ eː t̪ ɑː
जेतिक,d͡ʒ eː t̪ ɪ k
जेब,d͡ʒ eː b
-ज़ेब,- z eː b
जेबी,d͡ʒ eː b iː
जेय,d͡ʒ eː j
जेर,d͡ʒ eː ɾ
ज़ेर,z eː ɾ
जेल,d͡ʒ eː l
जेल,d͡ʒ eː l
जेल,d͡ʒ eː l
जेलर,d͡ʒ eː l ə ɾ
जेली,d͡ʒ eː l iː
जेवड़ा,d͡ʒ eː ʋ ɽ ɑː
जेवड़ी,d͡ʒ eː ʋ ɽ iː
जेवनार,d͡ʒ eː ʋ n ɑː ɾ
जेवनार,d͡ʒ eː ʋ n ɑː ɾ
ज़ेवर,z eː ʋ ə ɾ
ज़ेवरात,z eː ʋ ə ɾ ɑː t̪
जेष्ठ,d͡ʒ eː ʃ ʈʰ
जेष्ठ,d͡ʒ eː ʃ ʈʰ
जेष्ठा,d͡ʒ eː ʃ ʈʰ ɑː
जेह,d͡ʒ eː ɦ
जेहड़,d͡ʒ eː ɦ ə ɽ
जेहरि,d͡ʒ eː ɦ ɾ ɪ
जै,d͡ʒ ɛː
जैत,d͡ʒ ɛː t̪
जैत,d͡ʒ ɛː t̪
जैती,d͡ʒ ɛː t̪ iː
ज़ैतून,z ɛː t̪ uː n
जैत्र,d͡ʒ ɛː t̪ ɾ
जैन,d͡ʒ ɛː n
जैनी,d͡ʒ ɛː n iː
जैफर,d͡ʒ ɛː pʰ ə ɾ
ज़ैल,z ɛː l
जैव,d͡ʒ ɛː ʋ
जैविकी,d͡ʒ ɛː ʋ ɪ k iː
जैसा,d͡ʒ ɛː s ɑː
जैसे,d͡ʒ ɛː s eː
जोंक,d͡ʒ oː ~ k
जोंग,d͡ʒ oː ŋ g
जो,d͡ʒ oː
जो,d͡ʒ oː
जो-,d͡ʒ oː -
जोई,d͡ʒ oː iː
जोख,d͡ʒ oː kʰ
जोखना,d͡ʒ oː kʰ n ɑː
-जोखा,- d͡ʒ oː kʰ ɑː
जोखाई,d͡ʒ oː kʰ ɑː iː
जोखिम,d͡ʒ oː kʰ ɪ m
जोखिमी,d͡ʒ oː kʰ ɪ m iː
जोखों,d͡ʒ oː kʰ oː ~
जोग,d͡ʒ oː g
जोग,d͡ʒ oː g
जोगव-,d͡ʒ oː g ə ʋ -
जोगिन,d͡ʒ oː g ɪ n
जोगिनी,d͡ʒ oː g ɪ n iː
जोगिया,d͡ʒ oː g ɪ j ɑː
जोगी,d͡ʒ oː g iː
जोटा,d͡ʒ oː ʈ ɑː
जोड़,d͡ʒ oː ɽ
जोड़ती,d͡ʒ oː ɽ t̪ iː
जोड़न,d͡ʒ oː ɽ ə n
जोड़ना,d͡ʒ oː ɽ n ɑː
जोड़ला,d͡ʒ oː ɽ l ɑː
जोड़वाँ,d͡ʒ oː ɽ ʋ ɑː ~
जोड़ा,d͡ʒ oː ɽ ɑː
जोड़ा,d͡ʒ oː ɽ ɑː
जोड़ाई,d͡ʒ oː ɽ ɑː iː
जोड़िया,d͡ʒ oː ɽ ɪ j ɑː
जोड़ी,d͡ʒ oː ɽ iː
जोत,d͡ʒ oː t̪
जोत,d͡ʒ oː t̪
जोतन,d͡ʒ oː t̪ ə n
जोतना,d͡ʒ oː t̪ n ɑː
जोता,d͡ʒ oː t̪ ɑː
जोताई,d͡ʒ oː t̪ ɑː iː
जोताऊ,d͡ʒ oː t̪ ɑː uː
जोति,d͡ʒ oː t̪ ɪ
जोतिया,d͡ʒ oː t̪ ɪ j ɑː
जोती,d͡ʒ oː t̪ iː
जोधा,d͡ʒ oː d̪ʱ ɑː
जोधापन,d͡ʒ oː d̪ʱ ɑː p ə n
जोनि,d͡ʒ oː n ɪ
जोबन,d͡ʒ oː b ə n
ज़ोम,z oː m
ज़ोर,z oː ɾ
जोरू,d͡ʒ oː ɾ uː
जोली,d͡ʒ oː l iː
जोव-,d͡ʒ oː ʋ -
जोश,d͡ʒ oː ʃ
जोशन,d͡ʒ oː ʃ ə n
जोशाँदा,d͡ʒ oː ʃ ɑː n d̪ ɑː
जोशी,d͡ʒ oː ʃ iː
जोशीला,d͡ʒ oː ʃ iː l ɑː
जोशीलापन,d͡ʒ oː ʃ iː l ɑː p ə n
जोषी,d͡ʒ oː ʃ iː
जोहड़,d͡ʒ oː ɦ ə ɽ
ज़ोहरा,z oː ɦ ɾ ɑː
जोहन,d͡ʒ oː ɦ ə n
जोहना,d͡ʒ oː ɦ n ɑː
जौं,d͡ʒ ɔː ~
जौंकना,d͡ʒ ɔː ~ k n ɑː
जौंची,d͡ʒ ɔː n t͡ʃ iː
जौंडा,d͡ʒ ɔː n ɖ ɑː
जौंड़ा,d͡ʒ ɔː ~ ɽ ɑː
जौंरा-भौंरा,d͡ʒ ɔː ~ ɾ ɑː - bʱ ɔː ~ ɾ ɑː
जौ,d͡ʒ ɔː
जौ,d͡ʒ ɔː
ज़ौक़,z ɔː q
जौन,d͡ʒ ɔː n
जौनार,d͡ʒ ɔː n ɑː ɾ
जौनार,d͡ʒ ɔː n ɑː ɾ
जौर,d͡ʒ ɔː ɾ
जौलानी,d͡ʒ ɔː l ɑː n iː
